origin,destination,count,color
CAE_1,CHS_2,55,red
CAE_2,CHS_3,929,red
CAE_3,CHS_4,1379,red
CAE_4,CHS_5,4120,red
CAE_5,CHS_6,3033,red
CAE_6,CHS_7,2965,red
CAE_7,CHS_8,2720,red
CAE_8,CHS_9,2957,red
CAE_9,CHS_10,3496,red
CAE_10,CHS_11,4081,red
CAE_11,CHS_12,3657,red
CAE_12,CHS_13,3757,red
GSP_1,CHS_2,918,red
GSP_2,CHS_3,971,red
GSP_3,CHS_4,1096,red
GSP_4,CHS_5,1367,red
GSP_5,CHS_6,1560,red
GSP_6,CHS_7,1645,red
GSP_7,CHS_8,1788,red
GSP_8,CHS_9,1948,red
GSP_9,CHS_10,553,red
GSP_10,CHS_11,479,red
GSP_11,CHS_12,529,red
GSP_12,CHS_13,396,red
RIC_12,CHS_13,31,blue
CAE_1,GSP_2,38,red
CAE_2,GSP_3,131,red
CAE_4,GSP_5,98,red
CAE_8,GSP_9,214,red
CAE_9,GSP_10,13,red
CAE_10,GSP_11,28,red
CAE_11,GSP_12,137,red
CAE_12,GSP_13,34,red
CHS_1,GSP_2,1064,red
CHS_2,GSP_3,798,red
CHS_3,GSP_4,880,red
CHS_4,GSP_5,1254,red
CHS_5,GSP_6,1203,red
CHS_6,GSP_7,1383,red
CHS_7,GSP_8,1372,red
CHS_8,GSP_9,1490,red
CHS_9,GSP_10,481,red
CHS_10,GSP_11,257,red
CHS_11,GSP_12,319,red
CHS_12,GSP_13,447,red
LYH_2,GSP_3,76,blue
RIC_4,GSP_5,39,blue
RIC_6,GSP_7,210,blue
RIC_7,GSP_8,79,blue
RIC_10,GSP_11,17,blue
ROA_1,GSP_2,49,blue
CAE_7,MYR_8,68,red
CAE_8,MYR_9,27,red
CHS_3,MYR_4,74,red
CHS_7,MYR_8,44,red
CHS_10,MYR_11,73,red
RIC_2,MYR_3,456,blue
RIC_3,MYR_4,1311,blue
RIC_4,MYR_5,1483,blue
RIC_5,MYR_6,18,blue
CHO_5,LYH_6,27,red
CHO_6,LYH_7,21,red
CHO_7,LYH_8,92,red
CHO_8,LYH_9,142,red
ROA_2,LYH_3,47,red
ROA_3,LYH_4,45,red
ROA_8,LYH_9,30,red
SHD_7,LYH_8,40,red
SHD_9,LYH_10,213,red
SHD_10,LYH_11,280,red
SHD_11,LYH_12,262,red
SHD_12,LYH_13,303,red
CHO_1,RIC_2,246,red
CHO_2,RIC_3,778,red
CHO_3,RIC_4,1088,red
CHO_4,RIC_5,1512,red
CHO_5,RIC_6,1538,red
CHO_6,RIC_7,1420,red
CHO_7,RIC_8,1401,red
CHO_8,RIC_9,1311,red
CHO_9,RIC_10,1050,red
CHO_10,RIC_11,1055,red
CHO_11,RIC_12,1169,red
CHO_12,RIC_13,871,red
CHS_4,RIC_5,38,blue
CHS_12,RIC_13,43,blue
GSP_7,RIC_8,69,blue
MYR_2,RIC_3,499,blue
MYR_3,RIC_4,1046,blue
MYR_4,RIC_5,1866,blue
MYR_5,RIC_6,50,blue
ROA_2,RIC_3,506,red
ROA_3,RIC_4,2471,red
ROA_4,RIC_5,3163,red
ROA_5,RIC_6,3262,red
ROA_6,RIC_7,3498,red
