iata,longitude,latitude,cluster,color
SSC_1,144,40,0,LightSkyBlue
SSC_2,216,40,0,LightSkyBlue
SSC_3,288,40,0,LightSkyBlue
SSC_4,360,40,0,LightSkyBlue
SSC_5,432,40,0,LightSkyBlue
SSC_6,504,40,0,LightSkyBlue
SSC_7,576,40,0,LightSkyBlue
SSC_8,648,40,0,LightSkyBlue
SSC_9,720,40,0,LightSkyBlue
SSC_10,792,40,0,LightSkyBlue
SSC_11,864,40,0,LightSkyBlue
SSC_12,936,40,0,LightSkyBlue
SSC_13,1008,40,0,LightSkyBlue
AND_1,144,80,0,LightSkyBlue
AND_2,216,80,0,LightSkyBlue
AND_3,288,80,0,LightSkyBlue
AND_4,360,80,0,LightSkyBlue
AND_5,432,80,0,LightSkyBlue
AND_6,504,80,0,LightSkyBlue
AND_7,576,80,0,LightSkyBlue
AND_8,648,80,0,LightSkyBlue
AND_9,720,80,0,LightSkyBlue
AND_10,792,80,0,LightSkyBlue
AND_11,864,80,0,LightSkyBlue
AND_12,936,80,0,LightSkyBlue
AND_13,1008,80,0,LightSkyBlue
CAE_1,144,120,0,LightSkyBlue
CAE_2,216,120,0,LightSkyBlue
CAE_3,288,120,0,LightSkyBlue
CAE_4,360,120,0,LightSkyBlue
CAE_5,432,120,0,LightSkyBlue
CAE_6,504,120,0,LightSkyBlue
CAE_7,576,120,0,LightSkyBlue
CAE_8,648,120,0,LightSkyBlue
CAE_9,720,120,0,LightSkyBlue
CAE_10,792,120,0,LightSkyBlue
CAE_11,864,120,0,LightSkyBlue
CAE_12,936,120,0,LightSkyBlue
CAE_13,1008,120,0,LightSkyBlue
FLO_1,144,160,0,LightSkyBlue
FLO_2,216,160,0,LightSkyBlue
FLO_3,288,160,0,LightSkyBlue
FLO_4,360,160,0,LightSkyBlue
FLO_5,432,160,0,LightSkyBlue
FLO_6,504,160,0,LightSkyBlue
FLO_7,576,160,0,LightSkyBlue
FLO_8,648,160,0,LightSkyBlue
FLO_9,720,160,0,LightSkyBlue
FLO_10,792,160,0,LightSkyBlue
FLO_11,864,160,0,LightSkyBlue
FLO_12,936,160,0,LightSkyBlue
FLO_13,1008,160,0,LightSkyBlue
CHS_1,144,200,0,LightSkyBlue
CHS_2,216,200,0,LightSkyBlue
CHS_3,288,200,0,LightSkyBlue
CHS_4,360,200,0,LightSkyBlue
CHS_5,432,200,0,LightSkyBlue
CHS_6,504,200,0,LightSkyBlue
CHS_7,576,200,0,LightSkyBlue
CHS_8,648,200,0,LightSkyBlue
CHS_9,720,200,0,LightSkyBlue
CHS_10,792,200,0,LightSkyBlue
CHS_11,864,200,0,LightSkyBlue
CHS_12,936,200,0,LightSkyBlue
CHS_13,1008,200,0,LightSkyBlue
GGE_1,144,240,0,LightSkyBlue
GGE_2,216,240,0,LightSkyBlue
GGE_3,288,240,0,LightSkyBlue
GGE_4,360,240,0,LightSkyBlue
GGE_5,432,240,0,LightSkyBlue
GGE_6,504,240,0,LightSkyBlue
GGE_7,576,240,0,LightSkyBlue
GGE_8,648,240,0,LightSkyBlue
GGE_9,720,240,0,LightSkyBlue
GGE_10,792,240,0,LightSkyBlue
