origin,destination,count,color
AEX_116,BTR_117,42,red
LCH_64,BTR_65,41,red
LCH_66,BTR_67,44,red
LCH_79,BTR_80,48,red
LFT_1,BTR_2,779,red
LFT_2,BTR_3,675,red
LFT_3,BTR_4,877,red
LFT_4,BTR_5,794,red
LFT_5,BTR_6,1021,red
LFT_6,BTR_7,1120,red
LFT_7,BTR_8,855,red
LFT_8,BTR_9,1025,red
LFT_9,BTR_10,797,red
LFT_10,BTR_11,1013,red
LFT_11,BTR_12,763,red
LFT_12,BTR_13,558,red
LFT_13,BTR_14,754,red
LFT_14,BTR_15,819,red
LFT_15,BTR_16,778,red
LFT_16,BTR_17,782,red
LFT_17,BTR_18,998,red
LFT_18,BTR_19,1259,red
LFT_19,BTR_20,1235,red
LFT_20,BTR_21,1018,red
LFT_21,BTR_22,955,red
LFT_22,BTR_23,936,red
LFT_23,BTR_24,901,red
LFT_24,BTR_25,354,red
LFT_25,BTR_26,78,red
LFT_26,BTR_27,21,red
LFT_27,BTR_28,114,red
LFT_32,BTR_33,86,red
LFT_34,BTR_35,45,red
LFT_35,BTR_36,28,red
LFT_69,BTR_70,27,red
LFT_83,BTR_84,25,red
LFT_86,BTR_87,20,red
LFT_90,BTR_91,43,red
LFT_96,BTR_97,145,red
MLU_65,BTR_66,94,red
MLU_67,BTR_68,243,red
MLU_68,BTR_69,279,red
MLU_69,BTR_70,335,red
MLU_70,BTR_71,284,red
MLU_71,BTR_72,360,red
MLU_72,BTR_73,278,red
MLU_73,BTR_74,308,red
MLU_74,BTR_75,331,red
MLU_75,BTR_76,435,red
MLU_76,BTR_77,448,red
MLU_77,BTR_78,434,red
MLU_78,BTR_79,40,red
MLU_79,BTR_80,353,red
MLU_80,BTR_81,383,red
MLU_81,BTR_82,362,red
MLU_82,BTR_83,457,red
MLU_83,BTR_84,369,red
MLU_84,BTR_85,371,red
MLU_85,BTR_86,310,red
MLU_86,BTR_87,330,red
MLU_87,BTR_88,326,red
MLU_88,BTR_89,383,red
MLU_89,BTR_90,375,red
MLU_90,BTR_91,343,red
MLU_91,BTR_92,77,red
MLU_102,BTR_103,61,red
MLU_116,BTR_117,24,red
MSY_1,BTR_2,534,red
MSY_2,BTR_3,335,red
MSY_3,BTR_4,531,red
MSY_4,BTR_5,430,red
MSY_5,BTR_6,521,red
MSY_6,BTR_7,481,red
MSY_7,BTR_8,574,red
MSY_8,BTR_9,647,red
MSY_9,BTR_10,250,red
MSY_10,BTR_11,24,red
MSY_12,BTR_13,75,red
MSY_15,BTR_16,76,red
MSY_18,BTR_19,119,red
MSY_19,BTR_20,344,red
MSY_20,BTR_21,466,red
MSY_21,BTR_22,294,red
MSY_23,BTR_24,32,red
MSY_24,BTR_25,16,red
MSY_26,BTR_27,8,red
MSY_30,BTR_31,123,red
MSY_37,BTR_38,94,red
MSY_39,BTR_40,36,red
MSY_40,BTR_41,38,red
MSY_42,BTR_43,44,red
MSY_49,BTR_50,19,red
MSY_58,BTR_59,68,red
MSY_61,BTR_62,43,red
MSY_63,BTR_64,210,red
MSY_64,BTR_65,54,red
MSY_67,BTR_68,740,red
MSY_68,BTR_69,854,red
MSY_69,BTR_70,785,red
MSY_70,BTR_71,818,red
MSY_71,BTR_72,909,red
MSY_72,BTR_73,854,red
MSY_73,BTR_74,969,red
MSY_74,BTR_75,705,red
MSY_75,BTR_76,724,red
MSY_76,BTR_77,766,red
MSY_77,BTR_78,900,red
MSY_78,BTR_79,738,red
MSY_79,BTR_80,710,red
MSY_80,BTR_81,710,red
MSY_81,BTR_82,542,red
MSY_82,BTR_83,729,red
MSY_83,BTR_84,604,red
MSY_84,BTR_85,731,red
MSY_85,BTR_86,639,red
MSY_86,BTR_87,546,red
MSY_87,BTR_88,623,red
MSY_88,BTR_89,599,red
MSY_89,BTR_90,693,red
MSY_90,BTR_91,669,red
MSY_93,BTR_94,120,red
MSY_95,BTR_96,146,red
MSY_102,BTR_103,131,red
MSY_108,BTR_109,142,red
MSY_109,BTR_110,47,red
MSY_114,BTR_115,69,red
MSY_117,BTR_118,28,red
MSY_118,BTR_119,3,red
SHV_1,BTR_2,1213,red
SHV_2,BTR_3,1279,red
SHV_3,BTR_4,1285,red
SHV_4,BTR_5,1220,red
SHV_5,BTR_6,1337,red
SHV_6,BTR_7,1367,red
SHV_7,BTR_8,1620,red
SHV_8,BTR_9,1466,red
SHV_9,BTR_10,1193,red
SHV_10,BTR_11,1135,red
SHV_11,BTR_12,1078,red
SHV_12,BTR_13,891,red
SHV_13,BTR_14,657,red
SHV_14,BTR_15,966,red
SHV_15,BTR_16,844,red
SHV_16,BTR_17,833,red
SHV_17,BTR_18,1022,red
SHV_18,BTR_19,1154,red
SHV_19,BTR_20,1158,red
SHV_20,BTR_21,1019,red
SHV_21,BTR_22,897,red
SHV_22,BTR_23,1323,red
SHV_23,BTR_24,1203,red
SHV_24,BTR_25,1440,red
SHV_25,BTR_26,990,red
SHV_26,BTR_27,1269,red
SHV_27,BTR_28,1407,red
SHV_28,BTR_29,1150,red
SHV_29,BTR_30,1464,red
SHV_30,BTR_31,1821,red
SHV_31,BTR_32,2232,red
SHV_32,BTR_33,1861,red
SHV_33,BTR_34,1352,red
SHV_34,BTR_35,1385,red
SHV_35,BTR_36,1453,red
SHV_36,BTR_37,1391,red
SHV_37,BTR_38,1112,red
SHV_38,BTR_39,1071,red
SHV_39,BTR_40,1197,red
SHV_40,BTR_41,213,red
SHV_65,BTR_66,4,red
SHV_67,BTR_68,301,red
SHV_68,BTR_69,355,red
SHV_69,BTR_70,311,red
SHV_70,BTR_71,406,red
SHV_71,BTR_72,392,red
SHV_72,BTR_73,408,red
SHV_73,BTR_74,573,red
SHV_74,BTR_75,236,red
AEX_90,LCH_91,22,red
AEX_103,LCH_104,33,red
AEX_106,LCH_107,11,red
AEX_107,LCH_108,16,red
AEX_110,LCH_111,8,red
AEX_119,LCH_120,13,red
BTR_61,LCH_62,50,red
BTR_62,LCH_63,12,red
BTR_68,LCH_69,17,red
BTR_73,LCH_74,33,red
BTR_79,LCH_80,27,red
BTR_97,LCH_98,29,red
BTR_103,LCH_104,45,red
BTR_104,LCH_105,51,red
BTR_115,LCH_116,22,red
ESF_71,LCH_72,23,red
LFT_42,LCH_43,34,red
LFT_62,LCH_63,20,red
LFT_66,LCH_67,23,red
LFT_70,LCH_71,1,red
LFT_89,LCH_90,45,red
LFT_119,LCH_120,13,red
MLU_104,LCH_105,13,red
MLU_106,LCH_107,35,red
MLU_119,LCH_120,13,red
MSY_104,LCH_105,100,red
SHV_62,LCH_63,8,red
SHV_90,LCH_91,11,red
AEX_82,LFT_83,23,red
AEX_87,LFT_88,19,red
AEX_92,LFT_93,9,red
AEX_118,LFT_119,22,red
BTR_1,LFT_2,830,red
BTR_2,LFT_3,697,red
BTR_3,LFT_4,867,red
BTR_4,LFT_5,1018,red
BTR_5,LFT_6,788,red
BTR_6,LFT_7,399,red
BTR_7,LFT_8,152,red
BTR_8,LFT_9,136,red
BTR_9,LFT_10,97,red
BTR_10,LFT_11,71,red
BTR_11,LFT_12,99,red
BTR_14,LFT_15,107,red
BTR_15,LFT_16,29,red
BTR_18,LFT_19,25,red
BTR_19,LFT_20,105,red
BTR_21,LFT_22,103,red
BTR_25,LFT_26,20,red
BTR_26,LFT_27,33,red
BTR_27,LFT_28,20,red
BTR_30,LFT_31,32,red
BTR_31,LFT_32,88,red
BTR_32,LFT_33,24,red
BTR_33,LFT_34,64,red
BTR_34,LFT_35,41,red
BTR_36,LFT_37,109,red
BTR_41,LFT_42,51,red
BTR_45,LFT_46,76,red
BTR_49,LFT_50,59,red
BTR_52,LFT_53,55,red
BTR_69,LFT_70,69,red
BTR_83,LFT_84,15,red
BTR_86,LFT_87,36,red
BTR_95,LFT_96,4,red
BTR_96,LFT_97,12,red
BTR_112,LFT_113,31,red
BTR_118,LFT_119,37,red
ESF_51,LFT_52,32,red
ESF_70,LFT_71,25,red
ESF_73,LFT_74,43,red
LCH_45,LFT_46,13,red
LCH_52,LFT_53,23,red
LCH_65,LFT_66,22,red
LCH_66,LFT_67,43,red
LCH_68,LFT_69,14,red
LCH_78,LFT_79,20,red
LCH_82,LFT_83,7,red
LCH_90,LFT_91,39,red
LCH_91,LFT_92,45,red
LCH_113,LFT_114,44,red
LCH_117,LFT_118,17,red
LCH_119,LFT_120,17,red
MLU_109,LFT_110,14,red
MSY_2,LFT_3,119,red
MSY_12,LFT_13,77,red
MSY_56,LFT_57,51,red
MSY_62,LFT_63,26,red
MSY_71,LFT_72,100,red
MSY_76,LFT_77,29,red
MSY_89,LFT_90,143,red
MSY_114,LFT_115,115,red
SHV_61,LFT_62,9,red
SHV_109,LFT_110,23,red
AEX_80,MLU_81,21,red
AEX_81,MLU_82,12,red
AEX_82,MLU_83,16,red
AEX_83,MLU_84,13,red
AEX_84,MLU_85,4,red
AEX_85,MLU_86,6,red
AEX_90,MLU_91,14,red
AEX_103,MLU_104,18,red
BTR_67,MLU_68,91,red
BTR_68,MLU_69,135,red
BTR_69,MLU_70,118,red
BTR_70,MLU_71,151,red
BTR_71,MLU_72,135,red
BTR_72,MLU_73,102,red
BTR_73,MLU_74,130,red
BTR_74,MLU_75,73,red
BTR_75,MLU_76,85,red
BTR_76,MLU_77,167,red
BTR_77,MLU_78,100,red
BTR_78,MLU_79,7,red
BTR_79,MLU_80,67,red
BTR_80,MLU_81,85,red
BTR_81,MLU_82,67,red
BTR_82,MLU_83,103,red
BTR_83,MLU_84,77,red
BTR_84,MLU_85,82,red
BTR_85,MLU_86,100,red
BTR_86,MLU_87,95,red
BTR_87,MLU_88,83,red
BTR_88,MLU_89,419,red
BTR_89,MLU_90,404,red
BTR_90,MLU_91,349,red
BTR_113,MLU_114,17,red
ESF_37,MLU_38,11,red
ESF_47,MLU_48,14,red
ESF_61,MLU_62,437,red
ESF_62,MLU_63,383,red
ESF_63,MLU_64,515,red
ESF_64,MLU_65,509,red
ESF_65,MLU_66,553,red
ESF_66,MLU_67,534,red
ESF_67,MLU_68,468,red
ESF_68,MLU_69,592,red
ESF_69,MLU_70,445,red
ESF_70,MLU_71,530,red
ESF_71,MLU_72,592,red
ESF_72,MLU_73,522,red
ESF_73,MLU_74,597,red
ESF_74,MLU_75,504,red
ESF_75,MLU_76,303,red
ESF_76,MLU_77,248,red
ESF_77,MLU_78,284,red
ESF_78,MLU_79,275,red
ESF_79,MLU_80,47,red
ESF_80,MLU_81,40,red
LFT_82,MLU_83,21,red
MSY_62,MLU_63,6,red
MSY_70,MLU_71,5,red
MSY_75,MLU_76,17,red
MSY_76,MLU_77,52,red
MSY_82,MLU_83,4,red
MSY_83,MLU_84,7,red
MSY_85,MLU_86,5,red
MSY_86,MLU_87,7,red
MSY_87,MLU_88,5,red
MSY_88,MLU_89,2,red
MSY_90,MLU_91,5,red
SHV_1,MLU_2,3533,red
SHV_2,MLU_3,2849,red
