iata,latitude,longitude,cluster,color
MCO_1,140,20,0,red
MCO_2,210,20,0,red
MCO_3,280,20,0,red
MCO_4,350,20,0,red
MCO_5,420,20,0,red
MCO_6,490,20,0,red
MCO_7,560,20,0,red
MCO_8,630,20,0,red
MCO_9,700,20,0,red
MCO_10,770,20,0,red
MCO_11,840,20,0,red
MCO_12,910,20,0,red
MCO_13,980,20,0,red
DCA_1,140,40,0,red
DCA_2,210,40,0,red
DCA_3,280,40,0,red
DCA_4,350,40,0,red
DCA_5,420,40,0,red
DCA_6,490,40,0,red
DCA_7,560,40,0,red
DCA_8,630,40,0,red
DCA_9,700,40,0,red
DCA_10,770,40,0,red
DCA_11,840,40,0,red
DCA_12,910,40,0,red
DCA_13,980,40,0,red
SLC_1,140,60,0,red
SLC_2,210,60,0,red
SLC_3,280,60,0,red
SLC_4,350,60,0,red
SLC_5,420,60,0,red
SLC_6,490,60,0,red
SLC_7,560,60,0,red
SLC_8,630,60,0,red
SLC_9,700,60,0,red
SLC_10,770,60,0,red
SLC_11,840,60,0,red
SLC_12,910,60,0,red
SLC_13,980,60,0,red
IAD_1,140,80,0,red
IAD_2,210,80,0,red
IAD_3,280,80,0,red
IAD_4,350,80,0,red
IAD_5,420,80,0,red
IAD_6,490,80,0,red
IAD_7,560,80,0,red
IAD_8,630,80,0,red
IAD_9,700,80,0,red
IAD_10,770,80,0,red
IAD_11,840,80,0,red
IAD_12,910,80,0,red
IAD_13,980,80,0,red
MIA_1,140,100,0,red
MIA_2,210,100,0,red
MIA_3,280,100,0,red
MIA_4,350,100,0,red
MIA_5,420,100,0,red
MIA_6,490,100,0,red
MIA_7,560,100,0,red
MIA_8,630,100,0,red
MIA_9,700,100,0,red
MIA_10,770,100,0,red
MIA_11,840,100,0,red
MIA_12,910,100,0,red
MIA_13,980,100,0,red
BWI_1,140,120,0,red
BWI_2,210,120,0,red
BWI_3,280,120,0,red
BWI_4,350,120,0,red
BWI_5,420,120,0,red
BWI_6,490,120,0,red
BWI_7,560,120,0,red
BWI_8,630,120,0,red
BWI_9,700,120,0,red
BWI_10,770,120,0,red
BWI_11,840,120,0,red
BWI_12,910,120,0,red
BWI_13,980,120,0,red
LGA_1,140,140,0,red
LGA_2,210,140,0,red
LGA_3,280,140,0,red
LGA_4,350,140,0,red
LGA_5,420,140,0,red
LGA_6,490,140,0,red
LGA_7,560,140,0,red
LGA_8,630,140,0,red
LGA_9,700,140,0,red
LGA_10,770,140,0,red
LGA_11,840,140,0,red
LGA_12,910,140,0,red
LGA_13,980,140,0,red
SEA_1,140,160,0,red
SEA_2,210,160,0,red
SEA_3,280,160,0,red
SEA_4,350,160,0,red
SEA_5,420,160,0,red
SEA_6,490,160,0,red
SEA_7,560,160,0,red
SEA_8,630,160,0,red
SEA_9,700,160,0,red
SEA_10,770,160,0,red
SEA_11,840,160,0,red
SEA_12,910,160,0,red
SEA_13,980,160,0,red
JFK_1,140,180,0,red
JFK_2,210,180,0,red
JFK_3,280,180,0,red
JFK_4,350,180,0,red
JFK_5,420,180,0,red
JFK_6,490,180,0,red
JFK_7,560,180,0,red
JFK_8,630,180,0,red
JFK_9,700,180,0,red
JFK_10,770,180,0,red
JFK_11,840,180,0,red
JFK_12,910,180,0,red
JFK_13,980,180,0,red
CLE_1,140,200,0,red
CLE_2,210,200,0,red
CLE_3,280,200,0,red
CLE_4,350,200,0,red
CLE_5,420,200,0,red
CLE_6,490,200,0,red
CLE_7,560,200,0,red
CLE_8,630,200,0,red
CLE_9,700,200,0,red
CLE_10,770,200,0,red
CLE_11,840,200,0,red
CLE_12,910,200,0,red
CLE_13,980,200,0,red
BOS_1,140,220,0,red
BOS_2,210,220,0,red
BOS_3,280,220,0,red
BOS_4,350,220,0,red
BOS_5,420,220,0,red
BOS_6,490,220,0,red
BOS_7,560,220,0,red
BOS_8,630,220,0,red
BOS_9,700,220,0,red
BOS_10,770,220,0,red
BOS_11,840,220,0,red
BOS_12,910,220,0,red
BOS_13,980,220,0,red
LAS_1,140,240,0,red
LAS_2,210,240,0,red
LAS_3,280,240,0,red
LAS_4,350,240,0,red
LAS_5,420,240,0,red
LAS_6,490,240,0,red
LAS_7,560,240,0,red
LAS_8,630,240,0,red
LAS_9,700,240,0,red
LAS_10,770,240,0,red
LAS_11,840,240,0,red
LAS_12,910,240,0,red
LAS_13,980,240,0,red
CVG_1,140,260,0,red
CVG_2,210,260,0,red
CVG_3,280,260,0,red
CVG_4,350,260,0,red
CVG_5,420,260,0,red
CVG_6,490,260,0,red
CVG_7,560,260,0,red
CVG_8,630,260,0,red
CVG_9,700,260,0,red
CVG_10,770,260,0,red
CVG_11,840,260,0,red
CVG_12,910,260,0,red
CVG_13,980,260,0,red
IND_1,140,280,0,red
IND_2,210,280,0,red
IND_3,280,280,0,red
IND_4,350,280,0,red
IND_5,420,280,0,red
IND_6,490,280,0,red
IND_7,560,280,0,red
IND_8,630,280,0,red
IND_9,700,280,0,red
IND_10,770,280,0,red
IND_11,840,280,0,red
IND_12,910,280,0,red
IND_13,980,280,0,red
TPA_1,140,300,0,red
TPA_2,210,300,0,red
TPA_3,280,300,0,red
TPA_4,350,300,0,red
TPA_5,420,300,0,red
TPA_6,490,300,0,red
TPA_7,560,300,0,red
TPA_8,630,300,0,red
TPA_9,700,300,0,red
TPA_10,770,300,0,red
TPA_11,840,300,0,red
TPA_12,910,300,0,red
TPA_13,980,300,0,red
MEM_1,140,320,0,red
MEM_2,210,320,0,red
MEM_3,280,320,0,red
MEM_4,350,320,0,red
MEM_5,420,320,0,red
MEM_6,490,320,0,red
MEM_7,560,320,0,red
MEM_8,630,320,0,red
MEM_9,700,320,0,red
MEM_10,770,320,0,red
MEM_11,840,320,0,red
MEM_12,910,320,0,red
MEM_13,980,320,0,red
STL_1,140,340,0,red
STL_2,210,340,0,red
STL_3,280,340,0,red
STL_4,350,340,0,red
STL_5,420,340,0,red
STL_6,490,340,0,red
STL_7,560,340,0,red
STL_8,630,340,0,red
STL_9,700,340,0,red
STL_10,770,340,0,red
STL_11,840,340,0,red
STL_12,910,340,0,red
STL_13,980,340,0,red
EWR_1,140,360,0,red
EWR_2,210,360,0,red
EWR_3,280,360,0,red
EWR_4,350,360,0,red
EWR_5,420,360,0,red
EWR_6,490,360,0,red
EWR_7,560,360,0,red
EWR_8,630,360,0,red
EWR_9,700,360,0,red
EWR_10,770,360,0,red
EWR_11,840,360,0,red
EWR_12,910,360,0,red
EWR_13,980,360,0,red
IAH_1,140,380,0,red
IAH_2,210,380,0,red
IAH_3,280,380,0,red
IAH_4,350,380,0,red
IAH_5,420,380,0,red
IAH_6,490,380,0,red
IAH_7,560,380,0,red
IAH_8,630,380,0,red
IAH_9,700,380,0,red
IAH_10,770,380,0,red
IAH_11,840,380,0,red
IAH_12,910,380,0,red
IAH_13,980,380,0,red
PHL_1,140,400,0,red
PHL_2,210,400,0,red
PHL_3,280,400,0,red
PHL_4,350,400,0,red
