origin,destination,count
ATL_1,BOS_2,41096
MCO_1,TPA_2,5075
MCO_1,STL_2,14642
CLT_1,MCO_2,18097
STL_1,IAD_2,4252
EWR_1,STL_2,12549
MCO_1,SLC_2,4540
CLT_1,MEM_2,4372
MCO_1,PIT_2,13450
MCO_1,PHL_2,25802
CLT_1,MIA_2,12102
EWR_1,TPA_2,18092
MCO_1,ORD_2,32448
ATL_1,MIA_2,57566
MCO_1,MSP_2,10327
MCO_1,MIA_2,44764
CLT_1,MSP_2,3009
STL_1,IAH_2,4429
MCO_1,MEM_2,9883
MCO_1,LGA_2,33294
CLT_1,ORD_2,14795
MCO_1,LAX_2,9093
DFW_1,MSP_2,17326
IAD_1,ATL_2,13661
MCO_1,JFK_2,14439
CLT_1,PHL_2,17028
STL_1,IND_2,17728
MCO_1,IND_2,5634
DFW_1,ORD_2,50063
CLT_1,LGA_2,18087
MEM_1,ATL_2,23609
MEM_1,BOS_2,5283
CLT_1,EWR_2,15682
MEM_1,MSP_2,20904
MEM_1,MIA_2,7057
MEM_1,MCO_2,9897
STL_1,DFW_2,23024
MEM_1,LGA_2,7670
MEM_1,LAX_2,9929
CLT_1,IAH_2,6767
MEM_1,LAS_2,3288
STL_1,DTW_2,18981
DFW_1,PHL_2,17061
EWR_1,PIT_2,18296
MEM_1,IND_2,5484
MCO_1,IAH_2,13768
MEM_1,IAH_2,2840
MEM_1,EWR_2,3097
EWR_1,SEA_2,3189
MEM_1,DTW_2,11287
CLT_1,JFK_2,1778
ATL_1,MSP_2,13138
MEM_1,DFW_2,19805
CLT_1,LAS_2,126
MEM_1,DCA_2,7424
EWR_1,SFO_2,15912
MEM_1,CVG_2,3336
MEM_1,CLT_2,4252
CLT_1,LAX_2,8947
STL_1,EWR_2,12196
CLT_1,IND_2,6519
MEM_1,ORD_2,14250
MCO_1,IAD_2,9553
TPA_1,MCO_2,7093
CVG_1,BOS_2,9019
LGA_1,MEM_2,7575
ATL_1,MCO_2,68600
LGA_1,MCO_2,32842
LGA_1,JFK_2,108
CVG_1,BWI_2,3722
TPA_1,LGA_2,18709
LGA_1,IND_2,4606
LGA_1,IAH_2,12945
DFW_1,MEM_2,21063
CVG_1,CLE_2,5763
IAD_1,DCA_2,245
STL_1,LGA_2,16640
LGA_1,IAD_2,9704
LGA_1,EWR_2,748
CVG_1,CLT_2,3693
IAD_1,DFW_2,17351
LGA_1,DTW_2,23597
STL_1,MCO_2,15025
LGA_1,DFW_2,43307
CVG_1,DCA_2,10356
LGA_1,DCA_2,68922
LGA_1,CVG_2,11892
LGA_1,CLT_2,18089
CVG_1,DFW_2,11854
LGA_1,CLE_2,14632
ATL_1,CVG_2,17284
LGA_1,MIA_2,58147
LGA_1,MSP_2,18191
LGA_1,ORD_2,63957
CVG_1,ATL_2,16097
MCO_1,EWR_2,27554
MCO_1,DTW_2,19495
CLT_1,PIT_2,10416
IAD_1,BOS_2,12763
MCO_1,DFW_2,37069
MCO_1,DCA_2,12449
CLT_1,SEA_2,1387
ATL_1,MEM_2,23017
MCO_1,CVG_2,10165
STL_1,JFK_2,6577
MCO_1,CLT_2,17815
MCO_1,CLE_2,11666
CLT_1,SFO_2,6602
CLT_1,PHX_2,6044
