iata,latitude,longitude,cluster
DTW_1,160,20,0
DTW_2,240,20,0
DTW_3,320,20,0
DTW_4,400,20,0
DTW_5,480,20,0
DTW_6,560,20,0
DTW_7,640,20,0
DTW_8,720,20,0
DTW_9,800,20,0
DTW_10,880,20,0
DTW_11,960,20,0
DTW_12,1040,20,0
DTW_13,1120,20,0
LGA_1,160,40,0
LGA_2,240,40,0
LGA_3,320,40,0
LGA_4,400,40,0
LGA_5,480,40,0
LGA_6,560,40,0
LGA_7,640,40,0
LGA_8,720,40,0
LGA_9,800,40,0
LGA_10,880,40,0
LGA_11,960,40,0
LGA_12,1040,40,0
LGA_13,1120,40,0
DCA_1,160,60,0
DCA_2,240,60,0
DCA_3,320,60,0
DCA_4,400,60,0
DCA_5,480,60,0
DCA_6,560,60,0
DCA_7,640,60,0
DCA_8,720,60,0
DCA_9,800,60,0
DCA_10,880,60,0
DCA_11,960,60,0
DCA_12,1040,60,0
DCA_13,1120,60,0
BOS_1,160,80,0
BOS_2,240,80,0
BOS_3,320,80,0
BOS_4,400,80,0
BOS_5,480,80,0
BOS_6,560,80,0
BOS_7,640,80,0
BOS_8,720,80,0
BOS_9,800,80,0
BOS_10,880,80,0
BOS_11,960,80,0
BOS_12,1040,80,0
BOS_13,1120,80,0
MCO_1,160,100,0
MCO_2,240,100,0
MCO_3,320,100,0
MCO_4,400,100,0
MCO_5,480,100,0
MCO_6,560,100,0
MCO_7,640,100,0
MCO_8,720,100,0
MCO_9,800,100,0
MCO_10,880,100,0
MCO_11,960,100,0
MCO_12,1040,100,0
MCO_13,1120,100,0
IND_1,160,120,0
IND_2,240,120,0
IND_3,320,120,0
IND_4,400,120,0
IND_5,480,120,0
IND_6,560,120,0
IND_7,640,120,0
IND_8,720,120,0
IND_9,800,120,0
IND_10,880,120,0
IND_11,960,120,0
IND_12,1040,120,0
IND_13,1120,120,0
PIT_1,160,140,0
PIT_2,240,140,0
PIT_3,320,140,0
PIT_4,400,140,0
PIT_5,480,140,0
PIT_6,560,140,0
PIT_7,640,140,0
PIT_8,720,140,0
PIT_9,800,140,0
PIT_10,880,140,0
PIT_11,960,140,0
PIT_12,1040,140,0
PIT_13,1120,140,0
MEM_1,160,160,0
MEM_2,240,160,0
MEM_3,320,160,0
MEM_4,400,160,0
MEM_5,480,160,0
MEM_6,560,160,0
MEM_7,640,160,0
MEM_8,720,160,0
MEM_9,800,160,0
MEM_10,880,160,0
MEM_11,960,160,0
MEM_12,1040,160,0
MEM_13,1120,160,0
EWR_1,160,180,0
EWR_2,240,180,0
EWR_3,320,180,0
EWR_4,400,180,0
EWR_5,480,180,0
EWR_6,560,180,0
EWR_7,640,180,0
EWR_8,720,180,0
EWR_9,800,180,0
EWR_10,880,180,0
EWR_11,960,180,0
EWR_12,1040,180,0
EWR_13,1120,180,0
PHL_1,160,200,0
PHL_2,240,200,0
PHL_3,320,200,0
PHL_4,400,200,0
PHL_5,480,200,0
PHL_6,560,200,0
PHL_7,640,200,0
PHL_8,720,200,0
PHL_9,800,200,0
PHL_10,880,200,0
PHL_11,960,200,0
PHL_12,1040,200,0
