0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,181,352,791.0,530.0,244.0,293.0,731.0,791.0,810.0,581.0,64.0,408.0,352.0,760.0,64.0,244.0,770.0,791.0,700.0,608.0
668,363,612,136.0,612.0,363.0,475.0,363.0,0.0,110.0,6.0,331.0,293.0,237.0,244.0,541.0,334.0,482.0,6.0,331.0,770.0
297,85,477,56.0,615.0,541.0,408.0,541.0,466.0,3.0,243.0,301.0,19.0,204.0,19.0,483.0,331.0,123.0,541.0,706.0,507.0
770,85,19,286.0,541.0,770.0,125.0,770.0,3.0,30.0,274.0,30.0,479.0,595.0,44.0,30.0,41.0,113.0,541.0,380.0,0.0
791,110,3,187.0,810.0,83.0,0.0,495.0,331.0,651.0,331.0,3.0,472.0,85.0,711.0,815.0,711.0,799.0,115.0,178.0,244.0
85,295,85,297.0,230.0,87.0,331.0,428.0,334.0,5.0,87.0,482.0,282.0,181.0,810.0,454.0,578.0,810.0,512.0,3.0,14.0
608,0,408,19.0,352.0,244.0,624.0,706.0,608.0,828.0,3.0,114.0,6.0,625.0,482.0,363.0,310.0,2.0,477.0,377.0,3.0
714,791,455,791.0,706.0,293.0,286.0,114.0,737.0,0.0,301.0,809.0,144.0,791.0,103.0,625.0,67.0,791.0,495.0,286.0,178.0
73,87,1,507.0,364.0,363.0,541.0,625.0,608.0,114.0,19.0,581.0,791.0,482.0,638.0,0.0,73.0,536.0,571.0,541.0,286.0
316,512,699,112.0,699.0,512.0,0.0,615.0,313.0,615.0,711.0,363.0,316.0,331.0,700.0,286.0,293.0,706.0,64.0,286.0,571.0
810,113,85,331.0,638.0,19.0,516.0,19.0,234.0,293.0,509.0,19.0,286.0,571.0,282.0,177.0,571.0,483.0,380.0,571.0,483.0
428,437,178,69.0,293.0,151.0,64.0,331.0,637.0,668.0,408.0,0.0,690.0,151.0,64.0,637.0,614.0,637.0,1.0,110.0,244.0
67,286,352,581.0,541.0,14.0,41.0,113.0,41.0,30.0,701.0,597.0,86.0,651.0,664.0,651.0,700.0,428.0,810.0,477.0,474.0
625,581,114,445.0,466.0,360.0,466.0,364.0,363.0,608.0,178.0,615.0,146.0,377.0,742.0,181.0,87.0,608.0,103.0,571.0,114.0
428,408,2,625.0,637.0,614.0,637.0,1.0,293.0,277.0,809.0,608.0,437.0,310.0,2.0,47.0,615.0,85.0,377.0,3.0,1.0
428,363,466,608.0,668.0,742.0,1.0,331.0,216.0,85.0,450.0,428.0,810.0,637.0,316.0,651.0,742.0,706.0,615.0,41.0,1.0
428,115,389,704.0,85.0,742.0,482.0,742.0,265.0,615.0,823.0,313.0,615.0,479.0,30.0,83.0,571.0,352.0,806.0,571.0,352.0
14,464,14,316.0,331.0,334.0,571.0,32.0,742.0,1.0,310.0,610.0,0.0,408.0,244.0,760.0,0.0,293.0,690.0,293.0,237.0
265,810,659,310.0,608.0,244.0,456.0,428.0,19.0,6.0,352.0,770.0,809.0,103.0,791.0,668.0,310.0,2.0,19.0,638.0,230.0
408,482,437,3.0,475.0,3.0,390.0,293.0,151.0,114.0,668.0,103.0,348.0,714.0,158.0,331.0,482.0,810.0,244.0,151.0,316.0
482,331,115,512.0,615.0,377.0,2.0,30.0,651.0,475.0,651.0,479.0,363.0,218.0,363.0,668.0,390.0,408.0,19.0,628.0,6.0
377,810,83,651.0,595.0,651.0,615.0,742.0,14.0,113.0,711.0,113.0,265.0,808.0,615.0,791.0,2.0,310.0,380.0,331.0,810.0
455,512,85,668.0,85.0,316.0,428.0,456.0,509.0,6.0,115.0,334.0,700.0,216.0,115.0,334.0,3.0,760.0,408.0,123.0,3.0
310,437,114,0.0,151.0,625.0,1.0,115.0,428.0,6.0,380.0,668.0,41.0,799.0,571.0,742.0,230.0,638.0,282.0,571.0,700.0
474,30,41,742.0,428.0,1.0,151.0,770.0,1.0,272.0,690.0,272.0,0.0,610.0,469.0,571.0,187.0,32.0,810.0,581.0,310.0
181,324,85,30.0,14.0,115.0,608.0,151.0,483.0,114.0,390.0,668.0,2.0,181.0,3.0,19.0,786.0,19.0,516.0,0.0,293.0
125,286,19,791.0,85.0,178.0,293.0,495.0,428.0,348.0,428.0,512.0,114.0,64.0,541.0,6.0,625.0,64.0,316.0,742.0,477.0
6,181,297,324.0,5.0,0.0,659.0,316.0,624.0,6.0,509.0,151.0,19.0,187.0,32.0,742.0,87.0,806.0,571.0,114.0,802.0
704,360,704,360.0,466.0,3.0,115.0,541.0,638.0,0.0,2.0,14.0,81.0,218.0,363.0,581.0,1.0,110.0,706.0,331.0,571.0
464,788,14,114.0,103.0,1.0,6.0,810.0,578.0,0.0,714.0,151.0,455.0,363.0,428.0,541.0,608.0,73.0,316.0,482.0,216.0
41,313,711,615.0,482.0,625.0,483.0,3.0,23.0,3.0,809.0,0.0,615.0,474.0,377.0,474.0,113.0,41.0,2.0,1.0,85.0
185,689,185,475.0,61.0,475.0,608.0,64.0,608.0,455.0,316.0,151.0,737.0,151.0,1.0,244.0,690.0,331.0,690.0,293.0,30.0
483,637,244,770.0,6.0,482.0,286.0,331.0,87.0,334.0,115.0,389.0,668.0,791.0,323.0,714.0,323.0,19.0,390.0,331.0,770.0
428,390,760,2.0,742.0,41.0,615.0,146.0,113.0,83.0,113.0,30.0,810.0,770.0,363.0,651.0,2.0,293.0,731.0,318.0,541.0
6,158,714,581.0,0.0,363.0,73.0,0.0,571.0,428.0,348.0,286.0,428.0,244.0,162.0,791.0,628.0,286.0,178.0,742.0,608.0
541,770,581,363.0,316.0,6.0,408.0,293.0,615.0,541.0,390.0,482.0,524.0,610.0,482.0,659.0,114.0,625.0,110.0,323.0,706.0
624,428,352,380.0,293.0,64.0,0.0,73.0,541.0,123.0,232.0,608.0,115.0,363.0,85.0,334.0,87.0,571.0,115.0,178.0,760.0
541,30,363,126.0,770.0,144.0,3.0,437.0,310.0,760.0,3.0,230.0,216.0,541.0,32.0,230.0,297.0,181.0,297.0,188.0,810.0
380,286,151,416.0,19.0,244.0,293.0,162.0,791.0,455.0,512.0,2.0,14.0,742.0,331.0,791.0,110.0,3.0,114.0,770.0,2.0
628,6,455,512.0,0.0,272.0,690.0,428.0,760.0,0.0,234.0,3.0,286.0,714.0,706.0,625.0,6.0,624.0,0.0,85.0,230.0
810,30,519,651.0,571.0,380.0,293.0,162.0,791.0,19.0,483.0,244.0,810.0,377.0,113.0,3.0,126.0,770.0,172.0,770.0,331.0
541,408,178,608.0,714.0,706.0,742.0,2.0,512.0,699.0,318.0,608.0,714.0,110.0,791.0,668.0,706.0,3.0,234.0,293.0,541.0
810,475,14,293.0,380.0,509.0,428.0,509.0,151.0,490.0,316.0,2.0,59.0,363.0,114.0,810.0,115.0,450.0,360.0,466.0,445.0
87,0,3,509.0,151.0,628.0,331.0,706.0,363.0,187.0,2.0,706.0,2.0,331.0,690.0,244.0,509.0,637.0,482.0,541.0,0.0
